t,u_model,u_observed,v,V_model,V,dVdt_model,dVdt,noise
0.0,1.0,1.0,0.0,19.739208802178716,19.739208802178716,0.0,0.0,0.0
0.001,0.9999605215823957,0.9999605215823957,-0.039478417604357434,19.7384295602149,19.7384295602149,-0.7792419638157355,-0.7792419638157355,0.0
0.002,0.9998815939406247,0.9998815939406247,-0.07892764177093528,19.737649381381175,19.737649381381175,-0.7801788337253868,-0.7801788337253868,0.0
0.003,0.9997632478050825,0.9997632478050825,-0.11834613554219416,19.736866210472172,19.736866210472172,-0.7831709090027061,-0.7831709090027061,0.0
0.004,0.9996055154408329,0.9996055154408329,-0.15773236424965237,19.736077997156865,19.736077997156865,-0.7882133153067628,-0.7882133153067628,0.0
0.005,0.99940843064526,0.99940843064526,-0.1970847955728698,19.735282696294377,19.735282696294377,-0.7953008624888014,-0.7953008624888014,0.0
0.006,0.9991720287456617,0.9991720287456617,-0.23640189959829785,19.73447826824849,19.73447826824849,-0.8044280458854303,-0.8044280458854303,0.0
0.007,0.9988963465967837,0.9988963465967837,-0.2756821488779933,19.733662679200823,19.733662679200823,-0.8155890476686523,-0.8155890476686523,0.0
0.008,0.9985814225782955,0.9985814225782955,-0.3149240184881935,19.732833901462687,19.732833901462687,-0.8287777381354999,-0.8287777381354999,0.0
0.009000000000000001,0.9982272965922078,0.9982272965922078,-0.35412598608775103,19.73198991378554,19.73198991378554,-0.8439876771468846,-0.8439876771468838,0.0
0.01,0.9978340100602313,0.9978340100602313,-0.39328653197642555,19.731128701669952,19.731128701669952,-0.8612121155877617,-0.8612121155877625,0.0
0.011,0.9974016059210783,0.9974016059210783,-0.43240413915303044,19.73024825767312,19.73024825767312,-0.8804439968308486,-0.8804439968308494,0.0
0.012,0.9969301286277049,0.9969301286277049,-0.47147729337343236,19.729346581714807,19.729346581714807,-0.9016759583140299,-0.9016759583140291,0.0
0.013000000000000001,0.9964196241444965,0.9964196241444965,-0.5105044832084012,19.728421681381693,19.728421681381693,-0.9249003331142092,-0.9249003331142084,0.0
0.014,0.9958701399443952,0.9958701399443952,-0.5494842001013087,19.72747157223013,19.72747157223013,-0.9501091515637938,-0.9501091515637946,0.0
0.015,0.9952817250059696,0.9952817250059696,-0.5884149384256725,19.726494278087152,19.726494278087152,-0.9772941429773141,-0.9772941429773149,0.0
0.016,0.9946544298104271,0.9946544298104271,-0.6272951955425454,19.72548783134982,19.72548783134982,-1.0064467373318564,-1.0064467373318555,0.0
0.017,0.9939883063385693,0.9939883063385693,-0.6661234718577457,19.724450273282745,19.724450273282745,-1.0375580670753948,-1.0375580670753939,0.0
0.018000000000000002,0.9932834080676903,0.9932834080676903,-0.7048982708789273,19.723379654313824,19.723379654313824,-1.0706189689209111,-1.0706189689209102,0.0
0.019,0.9925397899684179,0.9925397899684179,-0.7436180992724877,19.722274034328148,19.722274034328148,-1.105619985676043,-1.1056199856760458,0.0
0.02,0.9917575085014976,0.9917575085014976,-0.7822814669203113,19.721131482959915,19.721131482959915,-1.1425513682326027,-1.1425513682326016,0.0
0.021,0.9909366216145212,0.9909366216145212,-0.8208868869763463,19.71995007988248,19.71995007988248,-1.1814030774353057,-1.1814030774353046,0.0
0.022,0.9900771887385982,0.9900771887385982,-0.859432875923012,19.71872791509638,19.71872791509638,-1.222164786099711,-1.222164786099714,0.0
0.023,0.9891792707849707,0.9891792707849707,-0.8979179536274364,19.717463089215354,19.717463089215354,-1.26482588102661,-1.2648258810266089,0.0
0.024,0.9882429301415732,0.9882429301415732,-0.9363406433975201,19.716153713750227,19.716153713750227,-1.30937546512655,-1.3093754651265488,0.0
