t,u_model,u_observed,v,V_model,V,dVdt_model,dVdt,noise
0.0,1.0,0.997441197115524,0.0,19.739208802178716,19.638320555259053,0.0,0.0,-0.0025588028844760044
0.001,0.9999605215823957,1.0050748367075608,-0.039478417604357434,19.7384295602149,19.940842960666103,-0.7792419638157355,302.52240540704986,0.00511431512516514
0.002,0.9998815939406247,0.9976206322927936,-0.07892764177093528,19.737649381381175,19.64850166788992,-0.7801788337253868,-292.34129277618234,-0.002260961647831047
0.003,0.9997632478050825,0.9966125635817706,-0.11834613554219416,19.736866210472172,19.612707578552882,-0.7831709090027061,-35.794089337038315,-0.003150684223311854
0.004,0.9996055154408329,0.9903053335376052,-0.15773236424965237,19.736077997156865,19.37077368069658,-0.7882133153067628,-241.9338978563026,-0.009300181903227674
0.005,0.99940843064526,0.9972754111710479,-0.1970847955728698,19.735282696294377,19.651214086644632,-0.7953008624888014,280.4404059480525,-0.0021330194742120367
0.006,0.9991720287456617,1.0102912025555248,-0.23640189959829785,19.73447826824849,20.175522680288513,-0.8044280458854303,524.3085936438803,0.011119173809863207
0.007,0.9988963465967837,1.003137813438043,-0.2756821488779933,19.733662679200823,19.90127938480172,-0.8155890476686523,-274.2432954867908,0.004241466841259362
0.008,0.9985814225782955,1.0089502133671922,-0.3149240184881935,19.732833901462687,20.143718867210602,-0.8287777381354999,242.43948240888002,0.010368790788896664
0.009000000000000001,0.9982272965922078,1.0007163238688588,-0.35412598608775103,19.73198991378554,19.830200870605356,-0.8439876771468846,-313.51799660524523,0.0024890272766509135
0.01,0.9978340100602313,1.001781706406369,-0.39328653197642555,19.731128701669952,19.88694756153325,-0.8612121155877617,56.74669092789491,0.0039476963461375775
0.011,0.9974016059210783,0.9992548725253623,-0.43240413915303044,19.73024825767312,19.80328997784872,-0.8804439968308486,-83.65758368453065,0.0018532666042839878
0.012,0.9969301286277049,0.9802695033745855,-0.47147729337343236,19.729346581714807,19.079109761827695,-0.9016759583140299,-724.1802160210249,-0.016660625253119433
0.013000000000000001,0.9964196241444965,1.0049721338321438,-0.5105044832084012,19.728421681381693,20.066296186663727,-0.9249003331142092,987.1864248360316,0.008552509687647371
0.014,0.9958701399443952,1.0009339884033424,-0.5494842001013087,19.72747157223013,19.927064848673613,-0.9501091515637938,-139.23133799011478,0.005063848458947204
